Plant_specie;Herbivore_specie;Plant_Tribe;Herbivore_Family;N;Loc
Chromolaena laevigata (Lam.) R.M. King & H. Rob.;Xanthaciura chrysura;Eupatorieae;Tephritidae;1;DIAM
Chromolaena pungens (Gardner) R.M. King & H. Rob.;Xanthaciura chrysura;Eupatorieae;Tephritidae;1;DIAM
Chromolaena chaseae (B.L. Rob.) R.M. King & H. Rob.;Xanthaciura chrysura;Eupatorieae;Tephritidae;2;CIPO
Chromolaena squalida (DC.) R.M. King & H. Rob.;Xanthaciura chrysura;Eupatorieae;Tephritidae;7;DIAM
Chromolaena cylindrocephala (Sch. Bip. ex Baker) R.M. King & H. Rob.;Xanthaciura chrysura;Eupatorieae;Tephritidae;3;DIAM
Chromolaena cylindrocephala (Sch. Bip. ex Baker) R.M. King & H. Rob.;Xanthaciura chrysura;Eupatorieae;Tephritidae;1;DIAM
Chromolaena oxylepis (DC.) R.M. King & H. Rob.;Xanthaciura chrysura;Eupatorieae;Tephritidae;3;DIAM
Chromolaena squalida (DC.) R.M. King & H. Rob.;Xanthaciura chrysura;Eupatorieae;Tephritidae;1;GMOG
Chromolaena mattogrossensis (Hieron.) R.M. King & H. Rob.;Xanthaciura chrysura;Eupatorieae;Tephritidae;3;GMOG
Chromolaena cylindrocephala (Sch. Bip. ex Baker) R.M. King & H. Rob.;Xanthaciura chrysura;Eupatorieae;Tephritidae;4;DIAM
Chromolaena squalida (DC.) R.M. King & H. Rob.;Xanthaciura chrysura;Eupatorieae;Tephritidae;3;DIAM
Chromolaena chaseae (B.L. Rob.) R.M. King & H. Rob.;Xanthaciura chrysura;Eupatorieae;Tephritidae;1;GMOG
Chromolaena laevigata (Lam.) R.M. King & H. Rob.;Xanthaciura chrysura;Eupatorieae;Tephritidae;4;GMOG
Chromolaena cylindrocephala (Sch. Bip. ex Baker) R.M. King & H. Rob.;Xanthaciura chrysura;Eupatorieae;Tephritidae;2;GMOG
Chromolaena minasgeraesensis (Hieron.) R.M. King & H. Rob.;Xanthaciura chrysura;Eupatorieae;Tephritidae;5;GMOG
Chromolaena chaseae (B.L. Rob.) R.M. King & H. Rob.;Xanthaciura chrysura;Eupatorieae;Tephritidae;3;DIAM
Bidens sp.03;Xanthaciura insecta;Vernonieae;Tephritidae;3;CABR
Bidens brasiliensis Sherff;Xanthaciura insecta;Coreopsideae;Tephritidae;25;OUBR
Bidens sp.03;Xanthaciura insecta;Vernonieae;Tephritidae;3;DIAM
Chromolaena squalida (DC.) R.M. King & H. Rob.;"Xanthaciura ""itirapinensis""";Eupatorieae;Tephritidae;1;DIAM
Bidens sp.03;Xanthaciura quadrisetosa;Vernonieae;Tephritidae;1;CABR
Koanophyllon thysanolepis (B.L. Rob.) R.M. King & H. Rob.;Xanthaciura quadrisetosa;Eupatorieae;Tephritidae;1;OUBR
Mikania purpurascens (Baker) R.M. King & H. Rob.;Xanthaciura quadrisetosa;Eupatorieae;Tephritidae;4;DIAM
Koanophyllon thysanolepis (B.L. Rob.) R.M. King & H. Rob.;Xanthaciura quadrisetosa;Eupatorieae;Tephritidae;6;OUBR
Calea nitida Less.;Xanthaciura quadrisetosa;Neuroleneae;Tephritidae;1;GMOG
Stomatanthes polycephalus (Sch. Bip. ex B.L. Rob.) H. Rob.;Xanthaciura quadrisetosa;Eupatorieae;Tephritidae;3;CABR
Symphyopappus viscosus;Xanthaciura quadrisetosa;Vernonieae;Tephritidae;1;DIAM
Pseudobrickellia brasiliensis (Spreng.) R.M. King & H. Rob.;Xanthaciura quadrisetosa;Eupatorieae;Tephritidae;2;DIAM
Baccharis ligustrina DC.;Xanthaciura quadrisetosa;Astereae;Tephritidae;1;CIPO
Symphyopappus viscosus;Xanthaciura quadrisetosa;Vernonieae;Tephritidae;24;DIAM
Aspilia jolyana G.M. Barroso;Xanthaciura unipuncta;Heliantheae;Tephritidae;3;CIPO
Aspilia tomentosa;Xanthaciura unipuncta;Vernonieae;Tephritidae;22;DIAM
Calea indet.;Xanthaciura unipuncta;Vernonieae;Tephritidae;2;GMOG
Aspilia sp.01;Xanthaciura unipuncta;Vernonieae;Tephritidae;15;GMOG
Mikania purpurascens (Baker) R.M. King & H. Rob.;Xanthaciura unipuncta;Eupatorieae;Tephritidae;1;DIAM
Chromolaena squalida (DC.) R.M. King & H. Rob.;Xanthaciura unipuncta;Eupatorieae;Tephritidae;1;DIAM
Aspilia sp.03;Xanthaciura unipuncta;Vernonieae;Tephritidae;3;OUBR
Calea elongata (Gardner) Baker;Xanthaciura unipuncta;Neuroleneae;Tephritidae;1;CABR
Aspilia tomentosa;Xanthaciura unipuncta;Vernonieae;Tephritidae;1;DIAM
Aspilia sp.05;Xanthaciura unipuncta;Vernonieae;Tephritidae;2;DIAM
Aspilia cylindrocephala H. Rob.;Xanthaciura unipuncta;Heliantheae;Tephritidae;4;CABR
Trichogonia villosa (Spreng.) Sch.Bip. ex Baker;Xanthaciura unipuncta;Eupatorieae;Tephritidae;1;GMOG
Aspilia tomentosa;Xanthaciura unipuncta;Vernonieae;Tephritidae;5;DIAM
Aspilia sp.03;Xanthaciura unipuncta;Vernonieae;Tephritidae;6;OUBR
Aspilia sp.05;Xanthaciura unipuncta;Vernonieae;Tephritidae;3;DIAM
Aspilia sp.01;Xanthaciura unipuncta;Vernonieae;Tephritidae;2;GMOG
Minasia sp.01;Tomoplagia bicolor;Vernonieae;Tephritidae;0;DIAM
Eremanthus polycephalus (DC.) MacLeish;Tomoplagia bicolor;Vernonieae;Tephritidae;1;DIAM
Moquinia racemosa (Spreng.) DC.;Tomoplagia bicolor;Moquinieae;Tephritidae;1;DIAM
Mikania neurocaula DC.;Tomoplagia bicolor;Eupatorieae;Tephritidae;1;CABR
Minasia alpestris (Gardner) H. Rob.;Tomoplagia bicolor;Vernonieae;Tephritidae;14;DIAM
Minasia sp.04;Tomoplagia bicolor;Vernonieae;Tephritidae;38;CABR
Minasia sp.06;Tomoplagia bicolor;Vernonieae;Tephritidae;49;CABR
Minasia indet.;Tomoplagia bicolor;Vernonieae;Tephritidae;11;CABR
Maschalostachys markgrafii (G.M. Barroso) Loeuille & Roque;Tomoplagia bicolor;Vernonieae;Tephritidae;16;CABR
Eremanthus elaeagnus (Mart. ex DC.) Sch. Bip.;Tomoplagia bicolor;Vernonieae;Tephritidae;1;CABR
Paralychnophora bicolor (DC.) MacLeish;Tomoplagia bicolor;Vernonieae;Tephritidae;1;DIAM
Minasia sp.06;Tomoplagia bicolor;Vernonieae;Tephritidae;29;CABR
Minasia scapigera H. Rob.;Tomoplagia bicolor;Vernonieae;Tephritidae;10;DIAM
Minasia alpestris (Gardner) H. Rob.;Tomoplagia bicolor;Vernonieae;Tephritidae;1;DIAM
Maschalostachys markgrafii (G.M. Barroso) Loeuille & Roque;Tomoplagia bicolor;Vernonieae;Tephritidae;2;GMOG
Minasia scapigera H. Rob.;Tomoplagia bicolor;Vernonieae;Tephritidae;4;DIAM
Minasia indet.;Tomoplagia bicolor;Vernonieae;Tephritidae;72;CABR
Eremanthus crotonoides (DC.) Sch. Bip.;Tomoplagia bicolor;Vernonieae;Tephritidae;1;CIPO
Minasia sp.06;Tomoplagia bicolor;Vernonieae;Tephritidae;38;CABR
Moquinia racemosa (Spreng.) DC.;Tomoplagia bicolor;Moquinieae;Tephritidae;2;DIAM
Minasia scapigera H. Rob.;Tomoplagia bicolor;Vernonieae;Tephritidae;10;DIAM
Echinocoryne holosericea (Mart. ex DC.) H.Rob.;Tomoplagia bicolor;Vernonieae;Tephritidae;2;CABR
Lychnophora villosissima Mart.;Tomoplagia bicolor;Vernonieae;Tephritidae;2;DIAM
Lychnocephalus tomentosus Mart. ex DC.;Tomoplagia bicolor;Vernonieae;Tephritidae;2;DIAM
Chresta sphaerocephala DC.;Tomoplagia bicolor;Vernonieae;Tephritidae;1;CABR
Piptolepis sp.02;Tomoplagia bicolor;Vernonieae;Tephritidae;5;DIAM
Eremanthus elaeagnus (Mart. ex DC.) Sch. Bip.;Tomoplagia bicolor;Vernonieae;Tephritidae;1;DIAM
Lychnocephalus tomentosus Mart. ex DC.;Tomoplagia bicolor;Vernonieae;Tephritidae;3;DIAM
Lychnocephalus tomentosus Mart. ex DC.;Tomoplagia bicolor;Vernonieae;Tephritidae;1;DIAM
Piptolepis sp.02;Tomoplagia bicolor;Vernonieae;Tephritidae;1;DIAM
Piptolepis sp.01;Tomoplagia bicolor;Vernonieae;Tephritidae;5;GMOG
Minasia scapigera H. Rob.;Tomoplagia bicolor;Vernonieae;Tephritidae;2;DIAM
Piptolepis sp.03;Tomoplagia bicolor;Vernonieae;Tephritidae;4;DIAM
Minasia sp.06;Tomoplagia bicolor;Vernonieae;Tephritidae;12;CABR
Proteopsis argentea Mart. & Zucc. ex Sch. Bip.;Tomoplagia bicolor;Vernonieae;Tephritidae;1;CABR
Lychnophora pohlii Sch. Bip.;Tomoplagia bicolor;Vernonieae;Tephritidae;1;DIAM
Minasia sp.04;Tomoplagia bicolor;Vernonieae;Tephritidae;6;CABR
Maschalostachys markgrafii (G.M. Barroso) Loeuille & Roque;Tomoplagia bicolor;Vernonieae;Tephritidae;5;CABR
Lychnophora cipoensis;Tomoplagia bicolor;Vernonieae;Tephritidae;7;CIPO
Lychnocephalus tomentosus Mart. ex DC.;Tomoplagia bicolor;Vernonieae;Tephritidae;12;DIAM
Lychnophora candelabrum Sch. Bip.;Tomoplagia bicolor;Vernonieae;Tephritidae;1;CABR
Aldama kunthiana (Gardner) E.E.Schill. & Panero;Tomoplagia bicolor;Heliantheae;Tephritidae;1;CABR
Lessingianthus obtusatus (Less.) H. Rob.;Tomoplagia brasiliensi;Vernonieae;Tephritidae;1;CIPO
Lessingianthus coriaceus (Less.) H. Rob.;Tomoplagia brasiliensi;Vernonieae;Tephritidae;1;CIPO
Lessingianthus dichrous (Mart. ex Colla) P.L.R. Moraes & Guglielmone;Tomoplagia brasiliensi;Vernonieae;Tephritidae;1;OUBR
Lessingianthus buddleiifolius (Mart. ex DC.) H. Rob.;Tomoplagia grandis;Vernonieae;Tephritidae;3;CABR
Lessingianthus buddleiifolius (Mart. ex DC.) H. Rob.;Tomoplagia grandis;Vernonieae;Tephritidae;6;CABR
Lychnophora diamantinana Coile & Jones;Tomoplagia rupestris;Vernonieae;Tephritidae;13;DIAM
Lychnophora indet.;Tomoplagia rupestris;Vernonieae;Tephritidae;54;DIAM
Lychnophora rosmarinifolia Mart.;Tomoplagia rupestris;Vernonieae;Tephritidae;1;CIPO
Eremanthus elaeagnus (Mart. ex DC.) Sch. Bip.;Tomoplagia rupestris;Vernonieae;Tephritidae;1;CIPO
Lychnophora phylicifolia DC.;Tomoplagia rupestris;Vernonieae;Tephritidae;4;CABR
Lychnophora indet.;Tomoplagia rupestris;Vernonieae;Tephritidae;5;CABR
Lychnophora phylicifolia DC.;Tomoplagia rupestris;Vernonieae;Tephritidae;2;CABR
Lychnophora pohlii Sch. Bip.;Tomoplagia rupestris;Vernonieae;Tephritidae;2;DIAM
Lychnophora pohlii Sch. Bip.;Tomoplagia rupestris;Vernonieae;Tephritidae;13;DIAM
Lychnophora diamantinana Coile & Jones;Tomoplagia rupestris;Vernonieae;Tephritidae;8;DIAM
Lychnophora indet.;Tomoplagia rupestris;Vernonieae;Tephritidae;4;CIPO
Lychnophora pohlii Sch. Bip.;Tomoplagia rupestris;Vernonieae;Tephritidae;13;DIAM
Eremanthus incanus (Less.) Less.;Tomoplagia rupestris;Vernonieae;Tephritidae;1;GMOG
Lychnophora phylicifolia DC.;Tomoplagia voluta;Vernonieae;Tephritidae;5;CABR
Lychnophora indet.;Tomoplagia voluta;Vernonieae;Tephritidae;3;CABR
Lychnophora phylicifolia DC.;Tomoplagia voluta;Vernonieae;Tephritidae;3;CABR
Lychnophora indet.;Tomoplagia voluta;Vernonieae;Tephritidae;3;CIPO
Lychnophora pohlii Sch. Bip.;Tomoplagia voluta;Vernonieae;Tephritidae;1;DIAM
Lychnophora pseudovillosissima;Tomoplagia interrupta;Vernonieae;Tephritidae;18;DIAM
Lychnophora pohlii Sch. Bip.;Tomoplagia interrupta;Vernonieae;Tephritidae;4;DIAM
Lychnophora pseudovillosissima;Tomoplagia interrupta;Vernonieae;Tephritidae;1;DIAM
Lychnophora villosissima Mart.;Tomoplagia interrupta;Vernonieae;Tephritidae;6;DIAM
Lychnophora pohlii Sch. Bip.;Tomoplagia interrupta;Vernonieae;Tephritidae;1;DIAM
Lychnophora villosissima Mart.;Tomoplagia interrupta;Vernonieae;Tephritidae;14;DIAM
Lychnophora villosissima Mart.;Tomoplagia interrupta;Vernonieae;Tephritidae;4;DIAM
Lychnophora villosissima Mart.;Tomoplagia interrupta;Vernonieae;Tephritidae;4;DIAM
Paralychnophora bicolor (DC.) MacLeish;Tomoplagia aczeli;Vernonieae;Tephritidae;3;GMOG
Minasia indet.;Tomoplagia aczeli;Vernonieae;Tephritidae;1;CABR
Lychnophora diamantinana Coile & Jones;Tomoplagia aczeli;Vernonieae;Tephritidae;1;DIAM
Paralychnophora bicolor (DC.) MacLeish;Tomoplagia aczeli;Vernonieae;Tephritidae;118;DIAM
Lychnophora indet.;Tomoplagia reticulata;Vernonieae;Tephritidae;7;CIPO
Eremanthus glomerulatus Less.;Tomoplagia reticulata;Vernonieae;Tephritidae;1;CIPO
Eremanthus glomerulatus Less.;Tomoplagia reticulata;Vernonieae;Tephritidae;9;OUBR
Lychnophora granmogolensis (Duarte) D.J.N. Hind;Tomoplagia reticulata;Vernonieae;Tephritidae;12;GMOG
Eremanthus glomerulatus Less.;Tomoplagia reticulata;Vernonieae;Tephritidae;9;CIPO
Eremanthus incanus (Less.) Less.;Tomoplagia reticulata;Vernonieae;Tephritidae;5;GMOG
Lychnophora pohlii Sch. Bip.;Tomoplagia reticulata;Vernonieae;Tephritidae;1;DIAM
Eremanthus incanus (Less.) Less.;Tomoplagia reticulata;Vernonieae;Tephritidae;2;CABR
Eremanthus incanus (Less.) Less.;Tomoplagia reticulata;Vernonieae;Tephritidae;9;GMOG
Eremanthus incanus (Less.) Less.;Tomoplagia reticulata;Vernonieae;Tephritidae;3;DIAM
Eremanthus elaeagnus (Mart. ex DC.) Sch. Bip.;Tomoplagia reticulata;Vernonieae;Tephritidae;9;CABR
Eremanthus incanus (Less.) Less.;Tomoplagia reticulata;Vernonieae;Tephritidae;126;CABR
Lychnophora indet.;Tomoplagia reticulata;Vernonieae;Tephritidae;85;CIPO
Lessingianthus obtusatus (Less.) H. Rob.;Tomoplagia cipoensis;Vernonieae;Tephritidae;1;CIPO
Lessingianthus obtusatus (Less.) H. Rob.;Tomoplagia cipoensis;Vernonieae;Tephritidae;1;CIPO
Calea sp.08;Tomoplagia cipoensis;Vernonieae;Tephritidae;1;CIPO
Lessingianthus dichrous (Mart. ex Colla) P.L.R. Moraes & Guglielmone;Tomoplagia cipoensis;Vernonieae;Tephritidae;1;CIPO
Lessingianthus linearifolius (Less.) H. Rob.;Tomoplagia cipoensis;Vernonieae;Tephritidae;1;CIPO
Lessingianthus linearifolius (Less.) H. Rob.;Tomoplagia cipoensis;Vernonieae;Tephritidae;3;CIPO
Lepidaploa spixiana (Mart. ex DC.) H. Rob.;"Tomoplagia ""incompletissima""";Vernonieae;Tephritidae;20;CIPO
Echinocoryne schwenkiifolia (Mart. ex DC.) H. Rob.;"Tomoplagia ""incompletissima""";Vernonieae;Tephritidae;2;CIPO
Lepidaploa spixiana (Mart. ex DC.) H. Rob.;"Tomoplagia ""incompletissima""";Vernonieae;Tephritidae;23;CIPO
Minasia indet.;"Tomoplagia ""incompletissima""";Vernonieae;Tephritidae;2;CABR
Lepidaploa spixiana (Mart. ex DC.) H. Rob.;"Tomoplagia ""incompletissima""";Vernonieae;Tephritidae;3;DIAM
Echinocoryne holosericea (Mart. ex DC.) H.Rob.;"Tomoplagia ""incompletissima""";Vernonieae;Tephritidae;2;CABR
Lessingianthus polyphyllus (Sch. Bip. ex Baker) H. Rob.;"Tomoplagia ""incompletissima""";Vernonieae;Tephritidae;1;DIAM
Lepidaploa rufogrisea (A. St.-Hil.) H. Rob.;"Tomoplagia ""incompletissima""";Vernonieae;Tephritidae;1;CABR
Echinocoryne schwenkiifolia (Mart. ex DC.) H. Rob.;"Tomoplagia ""incompletissima""";Vernonieae;Tephritidae;8;OUBR
Lepidaploa spixiana (Mart. ex DC.) H. Rob.;"Tomoplagia ""incompletissima""";Vernonieae;Tephritidae;5;CIPO
Vernonanthura ferruginea (Less.) H. Rob.;"Tomoplagia ""incompletissima""";Vernonieae;Tephritidae;1;CABR
Lessingianthus virgulatus (Mart. ex DC.) H. Rob.;"Tomoplagia ""incompletissima""";Vernonieae;Tephritidae;2;CABR
Chresta sphaerocephala DC.;"Tomoplagia ""incompletissima""";Vernonieae;Tephritidae;6;CABR
Lessingianthus virgulatus (Mart. ex DC.) H. Rob.;"Tomoplagia ""incompletissima""";Vernonieae;Tephritidae;2;CABR
Lepidaploa rufogrisea (A. St.-Hil.) H. Rob.;"Tomoplagia ""incompletissima""";Vernonieae;Tephritidae;1;DIAM
Lepidaploa salzmannii (DC.) H. Rob.;"Tomoplagia ""incompletissima""";Vernonieae;Tephritidae;1;GMOG
Lepidaploa rufogrisea (A. St.-Hil.) H. Rob.;"Tomoplagia ""incompletissima""";Vernonieae;Tephritidae;2;DIAM
Echinocoryne schwenkiifolia (Mart. ex DC.) H. Rob.;"Tomoplagia ""incompletissima""";Vernonieae;Tephritidae;6;CABR
Lepidaploa lilacina (Mart. ex DC.) H. Rob.;"Tomoplagia ""incompletissima""";Vernonieae;Tephritidae;6;GMOG
Lepidaploa rufogrisea (A. St.-Hil.) H. Rob.;"Tomoplagia ""incompletissima""";Vernonieae;Tephritidae;21;CABR
Proteopsis argentea Mart. & Zucc. ex Sch. Bip.;"Tomoplagia ""incompletissima""";Vernonieae;Tephritidae;1;CABR
Lepidaploa rufogrisea (A. St.-Hil.) H. Rob.;"Tomoplagia ""incompletissima""";Vernonieae;Tephritidae;2;CABR
Lessingianthus sp.01;"Tomoplagia ""incompletissima""";Vernonieae;Tephritidae;1;CABR
Echinocoryne schwenkiifolia (Mart. ex DC.) H. Rob.;"Tomoplagia ""incompletissima""";Vernonieae;Tephritidae;1;DIAM
Lepidaploa spixiana (Mart. ex DC.) H. Rob.;"Tomoplagia ""incompletissima""";Vernonieae;Tephritidae;3;DIAM
Lepidaploa spixiana (Mart. ex DC.) H. Rob.;"Tomoplagia ""incompletissima""";Vernonieae;Tephritidae;9;DIAM
Echinocoryne schwenkiifolia (Mart. ex DC.) H. Rob.;"Tomoplagia ""incompletissima""";Vernonieae;Tephritidae;6;CIPO
Lepidaploa rufogrisea (A. St.-Hil.) H. Rob.;"Tomoplagia ""incompletissima""";Vernonieae;Tephritidae;9;GMOG
Lepidaploa rufogrisea (A. St.-Hil.) H. Rob.;"Tomoplagia ""incompletissima""";Vernonieae;Tephritidae;6;DIAM
Lessingianthus virgulatus (Mart. ex DC.) H. Rob.;"Tomoplagia ""incompletissima""";Vernonieae;Tephritidae;14;OUBR
Echinocoryne schwenkiifolia (Mart. ex DC.) H. Rob.;"Tomoplagia ""incompletissima""";Vernonieae;Tephritidae;6;DIAM
Lepidaploa rufogrisea (A. St.-Hil.) H. Rob.;"Tomoplagia ""incompletissima""";Vernonieae;Tephritidae;2;DIAM
Lepidaploa rufogrisea (A. St.-Hil.) H. Rob.;"Tomoplagia ""incompletissima""";Vernonieae;Tephritidae;4;GMOG
Lessingianthus warmingianus (Baker) H. Rob.;"Tomoplagia ""incompletissima""";Vernonieae;Tephritidae;2;OUBR
Lepidaploa rufogrisea (A. St.-Hil.) H. Rob.;"Tomoplagia ""incompletissima""";Vernonieae;Tephritidae;2;CABR
Lepidaploa sp.01;"Tomoplagia ""incompletissima""";Vernonieae;Tephritidae;5;CABR
Lepidaploa rufogrisea (A. St.-Hil.) H. Rob.;"Tomoplagia ""incompletissima""";Vernonieae;Tephritidae;7;GMOG
Lepidaploa rufogrisea (A. St.-Hil.) H. Rob.;"Tomoplagia ""incompletissima""";Vernonieae;Tephritidae;2;GMOG
Lepidaploa rufogrisea (A. St.-Hil.) H. Rob.;"Tomoplagia ""incompletissima""";Vernonieae;Tephritidae;1;DIAM
Chrysolaena obovata (Less.) Dematt.;"Tomoplagia ""incompletissima""";Vernonieae;Tephritidae;1;DIAM
